CCMM_Class,DataCite_Class,Similarity,CCMM_URI,DataCite_URI
Description,Description,100,https://model.ccmm.cz/research-data/Description,https://model.ccmm.cz/vocabulary/datacite#Description
FundingReference,FundingReference,100,https://model.ccmm.cz/research-data/FundingReference,https://model.ccmm.cz/vocabulary/datacite#FundingReference
DescriptionType,DescriptionType,100,https://model.ccmm.cz/research-data/DescriptionType,https://model.ccmm.cz/vocabulary/datacite#DescriptionType
Subject,Subject,100,https://model.ccmm.cz/research-data/Subject,https://model.ccmm.cz/vocabulary/datacite#Subject
Resource,Resource,100,https://model.ccmm.cz/research-data/Resource,https://model.ccmm.cz/vocabulary/datacite#Resource
DescriptionType,Description,85,https://model.ccmm.cz/research-data/DescriptionType,https://model.ccmm.cz/vocabulary/datacite#Description
Description,DescriptionType,85,https://model.ccmm.cz/research-data/Description,https://model.ccmm.cz/vocabulary/datacite#DescriptionType
Location,Geolocation,84,https://model.ccmm.cz/research-data/Location,https://model.ccmm.cz/vocabulary/datacite#Geolocation
ResourceType,Resource,80,https://model.ccmm.cz/research-data/ResourceType,https://model.ccmm.cz/vocabulary/datacite#Resource
Identifier,FunderIdentifier,77,https://model.ccmm.cz/research-data/Identifier,https://model.ccmm.cz/vocabulary/datacite#FunderIdentifier
Identifier,RelatedIdentifier,74,https://model.ccmm.cz/research-data/Identifier,https://model.ccmm.cz/vocabulary/datacite#RelatedIdentifier
File,Profile,73,https://model.ccmm.cz/research-data/File,http://www.w3.org/ns/dx/prof/Profile
Location,GeoLocationBox,73,https://model.ccmm.cz/research-data/Location,https://model.ccmm.cz/vocabulary/datacite#GeoLocationBox
Dataset,Date,73,https://model.ccmm.cz/research-data/Dataset,https://model.ccmm.cz/vocabulary/datacite#Date
AlternateTitle,AlternateIdentifier,73,https://model.ccmm.cz/research-data/AlternateTitle,https://model.ccmm.cz/vocabulary/datacite#AlternateIdentifier
AlternateTitleType,AlternateIdentifier,70,https://model.ccmm.cz/research-data/AlternateTitleType,https://model.ccmm.cz/vocabulary/datacite#AlternateIdentifier
Distribution,Description,70,https://model.ccmm.cz/research-data/Distribution,https://model.ccmm.cz/vocabulary/datacite#Description
RelatedResource,Resource,70,https://model.ccmm.cz/research-data/RelatedResource,https://model.ccmm.cz/vocabulary/datacite#Resource
SubjectScheme,Subject,70,https://model.ccmm.cz/research-data/SubjectScheme,https://model.ccmm.cz/vocabulary/datacite#Subject
Identifier,AlternateIdentifier,69,https://model.ccmm.cz/research-data/Identifier,https://model.ccmm.cz/vocabulary/datacite#AlternateIdentifier
ResourceRelationType,DescriptionType,69,https://model.ccmm.cz/research-data/ResourceRelationType,https://model.ccmm.cz/vocabulary/datacite#DescriptionType
TimeReference,FundingReference,69,https://model.ccmm.cz/research-data/TimeReference,https://model.ccmm.cz/vocabulary/datacite#FundingReference
Location,GeoLocationPoint,67,https://model.ccmm.cz/research-data/Location,https://model.ccmm.cz/vocabulary/datacite#GeoLocationPoint
DateType,Date,67,https://model.ccmm.cz/research-data/DateType,https://model.ccmm.cz/vocabulary/datacite#Date
AccessRights,Rights,67,https://model.ccmm.cz/research-data/AccessRights,https://model.ccmm.cz/vocabulary/datacite#Rights
RelatedResource,RelatedItem,62,https://model.ccmm.cz/research-data/RelatedResource,https://model.ccmm.cz/vocabulary/datacite#RelatedItem
IdentifierScheme,FunderIdentifier,62,https://model.ccmm.cz/research-data/IdentifierScheme,https://model.ccmm.cz/vocabulary/datacite#FunderIdentifier
MediaType,Date,62,https://model.ccmm.cz/research-data/MediaType,https://model.ccmm.cz/vocabulary/datacite#Date
Location,GeoLocationPolygon,62,https://model.ccmm.cz/research-data/Location,https://model.ccmm.cz/vocabulary/datacite#GeoLocationPolygon
IdentifierScheme,RelatedIdentifier,61,https://model.ccmm.cz/research-data/IdentifierScheme,https://model.ccmm.cz/vocabulary/datacite#RelatedIdentifier
LocationRelationType,GeoLocationPoint,61,https://model.ccmm.cz/research-data/LocationRelationType,https://model.ccmm.cz/vocabulary/datacite#GeoLocationPoint
Distribution,Contributor,61,https://model.ccmm.cz/research-data/Distribution,https://model.ccmm.cz/vocabulary/datacite#Contributor
