CCMM_Class,DataCite_Class,Similarity,CCMM_URI,DataCite_URI
Subject.classificationCode,subjectClassificationCode,98,https://model.ccmm.cz/research-data/Subject.classificationCode,https://model.ccmm.cz/vocabulary/datacite#subjectClassificationCode
AlternateTitle.title,alternativeTitle,83,https://model.ccmm.cz/research-data/AlternateTitle.title,https://model.ccmm.cz/vocabulary/datacite#alternativeTitle
DescriptionType.label,descriptionType,83,https://model.ccmm.cz/research-data/DescriptionType.label,https://model.ccmm.cz/vocabulary/datacite#descriptionType
SubjectScheme.label,subjectScheme,81,https://model.ccmm.cz/research-data/SubjectScheme.label,https://model.ccmm.cz/vocabulary/datacite#subjectScheme
ResourceType.label,resourceType,80,https://model.ccmm.cz/research-data/ResourceType.label,https://model.ccmm.cz/vocabulary/datacite#resourceType
Dataset.publicationYear,publicationYear,79,https://model.ccmm.cz/research-data/Dataset.publicationYear,https://model.ccmm.cz/vocabulary/datacite#publicationYear
Dataset.publicationYear,relatedItemPublicationYear,78,https://model.ccmm.cz/research-data/Dataset.publicationYear,https://model.ccmm.cz/vocabulary/datacite#relatedItemPublicationYear
Identifier.value,identifier,77,https://model.ccmm.cz/research-data/Identifier.value,https://model.ccmm.cz/vocabulary/datacite#identifier
Resource.title,resourceType,77,https://model.ccmm.cz/research-data/Resource.title,https://model.ccmm.cz/vocabulary/datacite#resourceType
Subject.title,subtitle,76,https://model.ccmm.cz/research-data/Subject.title,https://model.ccmm.cz/vocabulary/datacite#subtitle
ResourceType.label,resourceTypeGeneral,76,https://model.ccmm.cz/research-data/ResourceType.label,https://model.ccmm.cz/vocabulary/datacite#resourceTypeGeneral
SubjectScheme.label,subjectSchemeUri,74,https://model.ccmm.cz/research-data/SubjectScheme.label,https://model.ccmm.cz/vocabulary/datacite#subjectSchemeUri
DateType.label,dateType,73,https://model.ccmm.cz/research-data/DateType.label,https://model.ccmm.cz/vocabulary/datacite#dateType
IdentifierScheme.label,rightsIdentifierScheme,73,https://model.ccmm.cz/research-data/IdentifierScheme.label,https://model.ccmm.cz/vocabulary/datacite#rightsIdentifierScheme
FunderIdentifier.funderName,funderIdentifierSchemeUri,73,https://model.ccmm.cz/research-data/FunderIdentifier.funderName,https://model.ccmm.cz/vocabulary/datacite#funderIdentifierSchemeUri
DescriptionType.label,descriptionText,72,https://model.ccmm.cz/research-data/DescriptionType.label,https://model.ccmm.cz/vocabulary/datacite#descriptionText
