subject_id;subject_label;subject_type;predicate_id;object_id;object_label;object_type;mapping_justification;confidence;comment
http://purl.org/coar/resource_type/542X-3S04;design;;http://www.w3.org/2004/02/skos/core#closeMatch;;Model;rdfs literal;;;
http://purl.org/coar/resource_type/8KJG-QS0Y;research instrument;;http://www.w3.org/2004/02/skos/core#exactMatch;;Instrument;rdfs literal;;;
http://purl.org/coar/resource_type/H41Y-FW7B;laboratory notebook;;http://www.w3.org/2004/02/skos/core#closeMatch;;ComputationalNotebook;rdfs literal;;;
http://purl.org/coar/resource_type/H9BQ-739P;peer review;;http://www.w3.org/2004/02/skos/core#exactMatch;;PeerReview;rdfs literal;;;
http://purl.org/coar/resource_type/R60J-J5BD;conference presentation;;http://www.w3.org/2004/02/skos/core#broadMatch;;Presentation;rdfs literal;;;
http://purl.org/coar/resource_type/RMP5-3GQ6;collection;;http://www.w3.org/2004/02/skos/core#exactMatch;;Collection;rdfs literal;;;
http://purl.org/coar/resource_type/S7R1-K5P0;physical sample;;http://www.w3.org/2004/02/skos/core#closeMatch;;PhysicalObject;rdfs literal;;;
http://purl.org/coar/resource_type/YZ1N-ZFT9;research protocol;;http://www.w3.org/2004/02/skos/core#closeMatch;;StudyRegistration;rdfs literal;;;
http://purl.org/coar/resource_type/c_0640;journal;;http://www.w3.org/2004/02/skos/core#exactMatch;;Journal;rdfs literal;;;
http://purl.org/coar/resource_type/c_1843;other;;http://www.w3.org/2004/02/skos/core#relatedMatch;;Award;rdfs literal;;;
http://purl.org/coar/resource_type/c_1843;other;;http://www.w3.org/2004/02/skos/core#relatedMatch;;Service;rdfs literal;;;
http://purl.org/coar/resource_type/c_1843;other;;http://www.w3.org/2004/02/skos/core#exactMatch;;Other;rdfs literal;;;
http://purl.org/coar/resource_type/c_1843;other;;http://www.w3.org/2004/02/skos/core#relatedMatch;;Event;rdfs literal;;;
http://purl.org/coar/resource_type/c_1843;other;;http://www.w3.org/2004/02/skos/core#relatedMatch;;Project;rdfs literal;;;
http://purl.org/coar/resource_type/c_18cc;sound;;http://www.w3.org/2004/02/skos/core#exactMatch;;Sound;rdfs literal;;;
http://purl.org/coar/resource_type/c_18cf;text;;http://www.w3.org/2004/02/skos/core#narrowMatch;;Standard;rdfs literal;;;
http://purl.org/coar/resource_type/c_18cf;text;;http://www.w3.org/2004/02/skos/core#exactMatch;;Text;rdfs literal;;;
http://purl.org/coar/resource_type/c_2f33;book;;http://www.w3.org/2004/02/skos/core#exactMatch;;Book;rdfs literal;;;
http://purl.org/coar/resource_type/c_3248;book part;;http://www.w3.org/2004/02/skos/core#exactMatch;;BookChapter;rdfs literal;;;
http://purl.org/coar/resource_type/c_393c;workflow;;http://www.w3.org/2004/02/skos/core#exactMatch;;Workflow;rdfs literal;;;
http://purl.org/coar/resource_type/c_46ec;thesis;;http://www.w3.org/2004/02/skos/core#narrowMatch;;Dissertation;rdfs literal;;;
http://purl.org/coar/resource_type/c_5794;conference paper;;http://www.w3.org/2004/02/skos/core#exactMatch;;ConferencePaper;rdfs literal;;;
http://purl.org/coar/resource_type/c_5ce6;software;;http://www.w3.org/2004/02/skos/core#exactMatch;;Software;rdfs literal;;;
http://purl.org/coar/resource_type/c_6501;journal article;;http://www.w3.org/2004/02/skos/core#exactMatch;;JournalArticle;rdfs literal;;;
http://purl.org/coar/resource_type/c_6670;conference poster;;http://www.w3.org/2004/02/skos/core#broadMatch;;Poster;rdfs literal;;;
http://purl.org/coar/resource_type/c_816b;preprint;;http://www.w3.org/2004/02/skos/core#exactMatch;;Preprint;rdfs literal;;;
http://purl.org/coar/resource_type/c_8a7e;moving image;;http://www.w3.org/2004/02/skos/core#closeMatch;;Audiovisual;rdfs literal;;;
http://purl.org/coar/resource_type/c_93fc;report;;http://www.w3.org/2004/02/skos/core#exactMatch;;Report;rdfs literal;;;
http://purl.org/coar/resource_type/c_ab20;data management plan;;http://www.w3.org/2004/02/skos/core#broadMatch;;OutputManagementPlan;rdfs literal;;;
http://purl.org/coar/resource_type/c_beb9;data paper;;http://www.w3.org/2004/02/skos/core#exactMatch;;DataPaper;rdfs literal;;;
http://purl.org/coar/resource_type/c_ddb1;dataset;;http://www.w3.org/2004/02/skos/core#exactMatch;;Dataset;rdfs literal;;;
http://purl.org/coar/resource_type/c_e9a0;interactive resource;;http://www.w3.org/2004/02/skos/core#exactMatch;;InteractiveResource;rdfs literal;;;
http://purl.org/coar/resource_type/c_ecc8;still image;;http://www.w3.org/2004/02/skos/core#broadMatch;;Image;rdfs literal;;;
http://purl.org/coar/resource_type/c_f744;conference proceedings;;http://www.w3.org/2004/02/skos/core#exactMatch;;ConferenceProceeding;rdfs literal;;;
