CCMM_Class,DataCite_Class,Similarity,CCMM_URI,DataCite_URI
Dataset.hasFundingReference,hasFundingReference,83,https://model.ccmm.cz/research-data/Dataset.hasFundingReference,https://model.ccmm.cz/vocabulary/datacite#hasFundingReference
Dataset.hasDescription,hasDescription,78,https://model.ccmm.cz/research-data/Dataset.hasDescription,https://model.ccmm.cz/vocabulary/datacite#hasDescription
Description.hasDescriptionType,hasDescriptionType,75,https://model.ccmm.cz/research-data/Description.hasDescriptionType,https://model.ccmm.cz/vocabulary/datacite#hasDescriptionType
Dataset.hasSubject,hasSubject,71,https://model.ccmm.cz/research-data/Dataset.hasSubject,https://model.ccmm.cz/vocabulary/datacite#hasSubject
FundingReference.hasFunder,hasFundingReference,71,https://model.ccmm.cz/research-data/FundingReference.hasFunder,https://model.ccmm.cz/vocabulary/datacite#hasFundingReference
Dataset.hasDescription,hasDescriptionType,70,https://model.ccmm.cz/research-data/Dataset.hasDescription,https://model.ccmm.cz/vocabulary/datacite#hasDescriptionType
Agent.hasIdentifier,hasFunderIdentifier,68,https://model.ccmm.cz/research-data/Agent.hasIdentifier,https://model.ccmm.cz/vocabulary/datacite#hasFunderIdentifier
Agent.hasIdentifier,hasAlternateIdentifier,68,https://model.ccmm.cz/research-data/Agent.hasIdentifier,https://model.ccmm.cz/vocabulary/datacite#hasAlternateIdentifier
Dataset.hasIdentifier,hasRelatedIdentifier,68,https://model.ccmm.cz/research-data/Dataset.hasIdentifier,https://model.ccmm.cz/vocabulary/datacite#hasRelatedIdentifier
Agent.hasIdentifier,hasRelatedIdentifier,67,https://model.ccmm.cz/research-data/Agent.hasIdentifier,https://model.ccmm.cz/vocabulary/datacite#hasRelatedIdentifier
Dataset.hasIdentifier,relatedItemIdentifier,67,https://model.ccmm.cz/research-data/Dataset.hasIdentifier,https://model.ccmm.cz/vocabulary/datacite#relatedItemIdentifier
Dataset.hasLocation,hasGeolocation,67,https://model.ccmm.cz/research-data/Dataset.hasLocation,https://model.ccmm.cz/vocabulary/datacite#hasGeolocation
Resource.hasIdentifier,hasRelatedIdentifier,67,https://model.ccmm.cz/research-data/Resource.hasIdentifier,https://model.ccmm.cz/vocabulary/datacite#hasRelatedIdentifier
Agent.hasIdentifier,relatedItemIdentifier,65,https://model.ccmm.cz/research-data/Agent.hasIdentifier,https://model.ccmm.cz/vocabulary/datacite#relatedItemIdentifier
Dataset.hasIdentifier,hasFunderIdentifier,65,https://model.ccmm.cz/research-data/Dataset.hasIdentifier,https://model.ccmm.cz/vocabulary/datacite#hasFunderIdentifier
Dataset.hasIdentifier,hasAlternateIdentifier,65,https://model.ccmm.cz/research-data/Dataset.hasIdentifier,https://model.ccmm.cz/vocabulary/datacite#hasAlternateIdentifier
Description.hasDescriptionType,hasDescription,64,https://model.ccmm.cz/research-data/Description.hasDescriptionType,https://model.ccmm.cz/vocabulary/datacite#hasDescription
Resource.hasIdentifier,hasFunderIdentifier,63,https://model.ccmm.cz/research-data/Resource.hasIdentifier,https://model.ccmm.cz/vocabulary/datacite#hasFunderIdentifier
Resource.hasAlternateTitle,hasAlternateIdentifier,62,https://model.ccmm.cz/research-data/Resource.hasAlternateTitle,https://model.ccmm.cz/vocabulary/datacite#hasAlternateIdentifier
Dataset.hasLocation,hasGeoLocationBox,61,https://model.ccmm.cz/research-data/Dataset.hasLocation,https://model.ccmm.cz/vocabulary/datacite#hasGeoLocationBox
